Compound_ID,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
Com_7863_pos,23215840.98,91474295.77,52453566.04,8151257.295,7317789.148,11167117.23,124689534.8,6263825.992,18265893.21,24638696.54,12813167.39,13753100.24,12595857.92,8799299.18,7365196.524,33191394.25,20769546.81,24812223.2,11484523.4,29309743.55,64626047.57,20533195.47,9280493.573,48480939.83,37140224.41,13479849.56,6157399.358,16995120.86,7225498.479,12992933.97,10225503.2,16844720.52
Com_7864_pos,11798463.41,37580864.74,25174495.98,13512726.54,30256797.06,17614878.85,63956807.66,49545262.62,44581332.52,24335654.23,38781737.26,35359610.49,22983357.97,26114110.63,15572154.73,32941360.79,4643944.493,10240892.01,20856682.34,4928316.467,5704045.617,4822740.216,2691923.634,4484579.367,3443386.815,4023333.742,2988286.461,3145040.038,2929877.643,2687604.687,4735565.171,4724778.708
Com_7958_pos,15958210,22061578.83,14189370.66,5953955.377,12023721.16,4178336.708,42132221.17,18060356.62,38825528.22,69220147.68,19791883,14072790.93,9352115.118,9847863.356,23986577.01,26144037.78,10806844.77,11914875.76,11403810.08,7585994.794,10893448.63,9957154.631,8492581.321,7941729.036,17796872.51,11504556.36,17691724.59,21245425.22,10829642.54,33351391.18,22137102.04,7091604.368
Com_7959_pos,15686740.02,11243602.18,11903233.26,32550175.98,9243355.578,12043924.66,40284991.49,22831784.61,9478186.931,14299300.22,25184644.06,12929508.27,6321778.105,7093677.922,10554741.84,24741746.67,17435761.81,10376239.23,19594362.41,11926381.99,27285314.63,18162438.69,7639081.92,10193706.42,8402588.834,12858442.76,10257297.04,10836152.85,6939973.248,31321187.31,6527928.388,5645706.184
Com_7961_pos,17274035.97,17442955.7,16860864.46,15323571.37,23161087.76,26094022.71,35479235.8,29150948.16,12380423.95,12847878.2,16102430.15,20529585.6,15521368.18,18454286.77,7746347.363,27699586.01,39384907.14,74794981.02,72708270.39,21993888.62,32598929.63,53740076.36,63709469.22,62812946.66,38228319.62,41791598.03,25640821.21,35049775.35,23865913.89,9646633.368,35591712.15,28568014.26
Com_8000_pos,896770.8284,1133967.363,1488863.066,685316.9758,587994.0548,500724.3768,3357588.519,1233941.615,3110016.147,1780401.127,432152.9945,1085276.94,625479.4259,385408.5735,651409.4406,3541540.422,11193282.1,9628647.878,10546496.68,6625841.707,20501653.03,12910688.58,11609586.31,2246203.178,3640162.381,3030639.097,4028317.377,9737826.434,1009415.178,34186468.35,5615083.141,11085596.97
Com_8068_pos,4461417.594,88307571.28,38720064.37,4746755.717,6282187.17,23700650.1,2210959.999,6280962.781,19678974.48,3583190.328,13723970.54,20413754.41,4301970.405,5962039.428,2770655.62,9905127.161,553302.8521,909278.4607,859629.103,839175.733,783438.2427,823041.0938,568970.5363,722888.1682,563072.7219,666960.3355,435897.5691,559615.7886,353235.712,448287.4043,512043.9997,403612.5826
Com_8084_pos,10026245.88,12026598.9,15696423.68,7041115.357,7736065.579,9629023.415,55318258.15,7330047.896,10467334.58,8114368.06,7205045.682,9982489.324,7817750.029,8450427.267,17853142.77,21085635.76,28922575.98,52789626.19,33039529.17,24061255.88,72005306.79,31971650.26,17936674.81,28142432.96,35784245.04,122693263.5,38160681.07,27598413.61,25591514.59,11284895.24,19846981.73,19521400.23
Com_8086_pos,2317929.638,3693826.271,1803754.837,18080683.57,2900976.267,6506013.548,8316614.478,31816328.9,28294835.01,3319233.589,1828503.36,3287334.013,36822595.42,6648207.397,4101049.977,5756114.976,1253155.058,2282841.198,1648008.282,1716772.404,1749719.475,1295381.919,894915.4952,1208113.768,1433753.898,765488.5672,733133.9375,1010627.305,642636.2687,679324.3248,647305.4525,752169.7018
Com_8177_pos,389062.8212,2499366.663,2957935.106,264867.5831,216735.8267,222251.9772,222351.9821,318950.7625,22518293.56,24231255.93,3232136.081,1651657.973,522663.2041,276016.8933,11623891.61,937619.0902,1147063.479,827102.7555,178652.3505,334393.4418,338532.0017,851158.3771,5338510.378,215624.376,21524810.63,3615701.162,32267687.92,14055095.29,77904160.2,2680257.594,3442510.36,38927675.79
